scheme_name,amc_name,fund_manager,min_sip,min_lumpsum,expense_ratio,fund_size,fund_age,category,sub_category,rating,effective_return,sharpe,sortino,risk_level_score,risk_level,fund_score
Aditya Birla SL Govt Securities Fund,Aditya Birla Sun Life Mutual Fund,Bhupesh Bameta,1000,1000,0.29,1351.0,10,Debt,Gilt Mutual Funds,3,8.0,0.57,0.71,3,Medium,0.3130147761050407
Aditya Birla SL Income Fund,Aditya Birla Sun Life Mutual Fund,Bhupesh Bameta,1000,5000,0.49,1496.0,10,Debt,Medium to Long Duration Funds,4,7.7,0.64,0.88,3,Medium,0.35127648378172166
Aditya Birla SL India GenNext Fund,Aditya Birla Sun Life Mutual Fund,Chanchal Khandelwal,1000,1000,0.82,3217.0,10,Equity,Sectoral / Thematic Mutual Funds,3,13.3,1.43,3.73,6,High,0.38194698436660335
Aditya Birla SL Infrastructure Fund,Aditya Birla Sun Life Mutual Fund,Mahesh Patil,1000,1000,1.7,562.0,10,Equity,Sectoral / Thematic Mutual Funds,2,9.2,1.4,3.3,6,High,0.28699285734432733
Aditya Birla SL Inter Equity – Plan A-Direct Growth,Aditya Birla Sun Life Mutual Fund,Vinod Narayan Bhat,1000,1000,1.75,108.0,10,Equity,Sectoral / Thematic Mutual Funds,0,10.4,0.81,1.28,6,High,0.17285407659087454
Aditya Birla SL Inter Equity – Plan B-Direct Growth,Aditya Birla Sun Life Mutual Fund,Vinod Narayan Bhat,1000,1000,2.15,90.0,10,Equity,Sectoral / Thematic Mutual Funds,0,7.6,1.14,2.45,6,High,0.16784250637496467
Aditya Birla SL Liquid Fund,Aditya Birla Sun Life Mutual Fund,Kaustubh Gupta,500,500,0.21,28071.0,10,Debt,Liquid Mutual Funds,4,5.4,1.06,5.28,3,Medium,0.4060996437228054
Aditya Birla SL Low Duration Fund,Aditya Birla Sun Life Mutual Fund,Mohit Sharma,100,100,0.39,10035.0,10,Debt,Low Duration Funds,4,7.0,2.05,4.76,3,Medium,0.43618626969958635
Aditya Birla SL Manufacturing Equity Fund,Aditya Birla Sun Life Mutual Fund,Anil Shah,1000,1000,1.56,613.0,8,Equity,Sectoral / Thematic Mutual Funds,0,6.8,1.18,2.43,6,High,0.17399443092468242
Aditya Birla SL Medium Term Plan – Direct Growth,Aditya Birla Sun Life Mutual Fund,Sunaina da Cunha,1000,1000,0.86,1652.0,10,Debt,Medium Duration Funds,5,8.6,0.93,2.29,4,Medium,0.4066560335530043
Aditya Birla SL Midcap Fund,Aditya Birla Sun Life Mutual Fund,Anil Shah,1000,1000,1.2,3436.0,10,Equity,Mid Cap Mutual Funds,1,8.3,1.54,3.11,6,High,0.2669243558255926
Aditya Birla SL Money Manager Fund,Aditya Birla Sun Life Mutual Fund,Mohit Sharma,1000,1000,0.21,13095.0,10,Debt,Money Market Funds,4,6.4,1.94,4.58,3,Medium,0.4326970191821889
Aditya Birla SL Nifty 50 Index Fund,Aditya Birla Sun Life Mutual Fund,Lovelish Solanki,1000,100,0.32,494.0,10,Other,Index Funds,3,11.6,1.29,3.42,6,High,0.36508627456925713
Aditya Birla SL Overnight Fund,Aditya Birla Sun Life Mutual Fund,Kaustubh Gupta,0,5000,0.07,13399.0,4,Debt,Overnight Mutual Funds,3,3.9,0.02,0.11,1,Low,0.24766996833477417
Aditya Birla SL Pure Value Fund,Aditya Birla Sun Life Mutual Fund,Kunal Sangoi,1000,1000,1.12,3798.0,10,Equity,Value Funds,1,4.3,1.36,2.31,6,High,0.23476778997315875
Aditya Birla SL Regular Savings Fund,Aditya Birla Sun Life Mutual Fund,Dhaval Shah,500,500,0.92,1585.0,10,Hybrid,Conservative Hybrid Mutual Funds,3,7.6,2.08,3.88,4,Medium,0.3733289614559635
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,Aditya Birla Sun Life Mutual Fund,Dhaval Shah,500,1000,1.06,258.0,4,Solution Oriented,Retirement Funds,2,17.9,0.94,2.41,6,High,0.28538660568070073
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,Aditya Birla Sun Life Mutual Fund,Dhaval Shah,500,1000,1.07,91.0,4,Solution Oriented,Retirement Funds,2,15.0,0.93,2.34,6,High,0.26471018777913513
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,Aditya Birla Sun Life Mutual Fund,Dhaval Shah,500,1000,0.63,27.0,4,Solution Oriented,Retirement Funds,2,4.6,0.13,0.29,4,Medium,0.1730010260280963
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,Aditya Birla Sun Life Mutual Fund,Dhaval Shah,500,1000,0.85,26.0,4,Solution Oriented,Retirement Funds,1,4.6,0.18,0.22,3,Medium,0.12971437820464635
Aditya Birla SL Savings Fund,Aditya Birla Sun Life Mutual Fund,Kaustubh Gupta,1000,1000,0.34,14457.0,10,Debt,Ultra Short Duration Funds,4,6.5,1.96,4.23,3,Medium,0.42969334778695517
Aditya Birla SL Short Term Fund,Aditya Birla Sun Life Mutual Fund,Kaustubh Gupta,1000,1000,0.38,5045.0,10,Debt,Short Duration Funds,4,7.6,1.57,3.7,3,Medium,0.41152240911555465
Aditya Birla SL Small Cap Fund,Aditya Birla Sun Life Mutual Fund,Vishal Gajwani,1000,1000,1.04,2901.0,10,Equity,Small Cap Mutual Funds,1,5.4,1.51,3.11,6,High,0.2514435966437331
Aditya Birla SL Tax Relief ’96 – Direct Growth,Aditya Birla Sun Life Mutual Fund,Atul Penkar,500,500,0.93,12755.0,10,Equity,ELSS Mutual Funds,1,5.8,0.83,1.94,6,High,0.23323744713463146
AXIS All Seasons Debt Fund,Axis Mutual Fund,R Sivakumar,1000,5000,0.22,161.0,3,Other,FoFs Domestic,4,6.2,1.02,1.77,4,Medium,0.31346425018494706
AXIS Arbitrage Fund,Axis Mutual Fund,Ashish Naik,1000,500,0.31,3085.0,9,Hybrid,Arbitrage Mutual Funds,4,5.6,1.21,1.47,1,Low,0.3663473652635983
AXIS Balanced Advantage Fund,Axis Mutual Fund,Anupam Tiwari,1000,500,0.7,2077.0,6,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2,8.0,1.05,2.26,6,High,0.267977701145666
AXIS Banking & PSU Debt Fund,Axis Mutual Fund,Aditya Pagaria,1000,5000,0.33,13953.0,10,Debt,Banking and PSU Mutual Funds,4,7.2,1.11,2.78,3,Medium,0.39327681039223644
AXIS Bluechip Fund,Axis Mutual Fund,Shreyash Devalkar,500,500,0.63,33049.0,10,Equity,Large Cap Mutual Funds,4,12.1,0.9,1.81,6,High,0.3990573350026357
AXIS Children’s Gift Fund,Axis Mutual Fund,Ashish Naik,1000,5000,1.06,685.0,7,Solution Oriented,Childrens Funds,0,10.1,1.1,2.34,6,High,0.19307369543689162
AXIS Corporate Debt Fund,Axis Mutual Fund,Devang Shah,1000,5000,0.22,3783.0,6,Debt,Corporate Bond Mutual Funds,5,7.3,1.28,2.88,3,Medium,0.4110996524273908
AXIS Credit Risk Fund,Axis Mutual Fund,Devang Shah,1000,5000,0.81,620.0,9,Debt,Credit Risk Funds,4,6.8,1.77,1.97,4,Medium,0.3774733446472764
AXIS Dynamic Bond Fund,Axis Mutual Fund,R Sivakumar,1000,5000,0.26,1733.0,10,Debt,Dynamic Bond,2,7.7,0.45,0.61,3,Medium,0.2676356024664771
AXIS Equity Hybrid Fund,Axis Mutual Fund,Ashish Naik,1000,500,0.89,1699.0,5,Hybrid,Aggressive Hybrid Mutual Funds,2,17.4,1.09,2.37,6,High,0.30754083854251335
AXIS Equity Saver Fund,Axis Mutual Fund,R Sivakumar,1000,500,0.88,978.0,8,Hybrid,Equity Savings Mutual Funds,3,8.8,1.19,2.39,4,Medium,0.3230580285300075
AXIS Flexi Cap Fund,Axis Mutual Fund,Shreyash Devalkar,500,500,0.7,10077.0,5,Equity,Flexi Cap Funds,4,12.3,0.92,1.77,6,High,0.36167437654872886
AXIS Floater Fund,Axis Mutual Fund,Aditya Pagaria,1000,5000,0.16,416.0,2,Debt,Floater Mutual Funds,2,5.8,1.29,2.87,2,Low,0.24408657843893034
AXIS Focused 25 Fund,Axis Mutual Fund,Jinesh Gopani,500,500,0.74,15139.0,10,Equity,Focused Funds,2,8.9,0.74,1.44,6,High,0.2863664343395175
AXIS FTP – Series 104 – 1112Days,Axis Mutual Fund,Devang Shah,0,0,0.13,110.0,4,Debt,Fixed Maturity Plans,0,14.0,2.19,7.27,2,Low,0.2753584044160584
AXIS FTP – Series 109 – 111Days,Axis Mutual Fund,Devang Shah,0,0,0.0,565.0,1,Debt,Fixed Maturity Plans,0,14.0,1.29,2.87,3,Medium,0.20650184188461174
AXIS Gilt Fund,Axis Mutual Fund,Devang Shah,1000,5000,0.39,133.0,10,Debt,Gilt Mutual Funds,4,7.9,0.6,1.15,3,Medium,0.3430564818555828
AXIS Gold Fund,Axis Mutual Fund,Aditya Pagaria,1000,5000,0.17,290.0,10,Other,FoFs Domestic,4,13.7,0.49,1.07,5,High,0.37356179858749244
AXIS Growth Opportunities Fund,Axis Mutual Fund,Jinesh Gopani,1000,500,0.59,8053.0,4,Equity,Large & Mid Cap Funds,3,26.5,1.28,2.64,6,High,0.4106725159194521
AXIS Liquid Fund,Axis Mutual Fund,Devang Shah,0,500,0.15,27226.0,10,Debt,Liquid Mutual Funds,4,5.4,0.96,4.54,2,Low,0.3984989461718348
AXIS Long Term Equity Fund,Axis Mutual Fund,Jinesh Gopani,500,500,0.85,28754.0,10,Equity,ELSS Mutual Funds,2,9.4,0.75,1.45,6,High,0.29072098524354345
AXIS Midcap Fund,Axis Mutual Fund,Shreyash Devalkar,500,500,0.57,18920.0,10,Equity,Mid Cap Mutual Funds,5,15.8,1.4,2.98,6,High,0.4828416373104011
AXIS Money Market Fund,Axis Mutual Fund,Devang Shah,1000,5000,0.21,4002.0,4,Debt,Money Market Funds,4,5.4,1.91,4.81,2,Low,0.3843805326853349
AXIS Nifty 100 Index Fund,Axis Mutual Fund,Ashish Naik,1000,500,0.15,953.0,3,Other,Index Funds,3,25.1,1.24,2.93,6,High,0.3952901580776234
AXIS Overnight Fund,Axis Mutual Fund,Aditya Pagaria,0,500,0.05,12566.0,4,Debt,Overnight Mutual Funds,4,3.9,0.09,0.49,1,Low,0.2927903102704691
AXIS Regular Saver Fund,Axis Mutual Fund,Devang Shah,1000,500,0.86,407.0,10,Hybrid,Conservative Hybrid Mutual Funds,3,7.0,1.37,2.42,4,Medium,0.3295561835428005
AXIS Retirement Savings Fund,Axis Mutual Fund,Jinesh Gopani,1000,5000,0.6,270.0,3,Solution Oriented,Retirement Funds,2,13.6,0.79,1.58,6,High,0.2547798253168333
AXIS Retirement Savings Fund,Axis Mutual Fund,Jinesh Gopani,1000,5000,0.41,81.0,3,Solution Oriented,Retirement Funds,2,10.3,1.04,1.84,5,High,0.2480596251874302
AXIS Retirement Savings Fund,Axis Mutual Fund,Jinesh Gopani,1000,5000,0.65,633.0,3,Solution Oriented,Retirement Funds,1,14.0,0.76,1.56,6,High,0.21934328408889642
AXIS Short Term Fund,Axis Mutual Fund,Devang Shah,1000,5000,0.3,7096.0,10,Debt,Short Duration Funds,4,7.4,1.38,2.78,3,Medium,0.40065971449357296
AXIS Small Cap Fund,Axis Mutual Fund,Anupam Tiwari,500,500,0.54,11462.0,9,Equity,Small Cap Mutual Funds,5,19.4,2.06,3.9,6,High,0.5234795963625807
AXIS Strategic Bond Fund,Axis Mutual Fund,Devang Shah,1000,5000,0.39,1644.0,10,Debt,Medium Duration Funds,4,7.4,1.46,2.27,4,Medium,0.39109249044568845
AXIS Treasury Advantage Fund,Axis Mutual Fund,Devang Shah,1000,5000,0.29,4614.0,10,Debt,Low Duration Funds,4,6.6,1.75,3.73,2,Low,0.4143756579088055
AXIS Triple Advantage Fund,Axis Mutual Fund,R Sivakumar,1000,500,0.72,1478.0,10,Hybrid,Multi Asset Allocation Mutual Funds,2,10.4,1.08,2.35,6,High,0.30311326372058317
AXIS Ultra Short Term Fund,Axis Mutual Fund,Aditya Pagaria,1000,5000,0.31,4491.0,5,Debt,Ultra Short Duration Funds,4,5.4,2.25,4.47,3,Medium,0.3989271548891887
Bandhan Asset Allocation FoF – Moderate – Direct Growth,Bandhan Mutual Fund,Sachin Relekar,100,1000,0.42,16.0,10,Other,FoFs Domestic,0,6.9,1.31,2.27,5,High,0.1974835628422858
Bandhan FTP – Sr.179,Bandhan Mutual Fund,Harshal Joshi,0,5000,0.05,286.0,4,Debt,Fixed Maturity Plans,0,6.2,0.64,0.9,3,Medium,0.14352028680003537
Bank of India Arbitrage Fund,Bank of India Mutual Fund,Alok Singh,1000,5000,0.98,12.0,5,Hybrid,Arbitrage Mutual Funds,1,3.4,-0.78,-1.14,1,Low,0.08151845314976516
Bank of India Balanced Advantage Fund,Bank of India Mutual Fund,Alok Singh,1000,5000,2.07,90.0,9,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2,5.1,0.81,1.81,6,High,0.2160660989440857
Bank of India Conservative Hybrid Fund,Bank of India Mutual Fund,Alok Singh,1000,10000,2.2,63.0,10,Hybrid,Conservative Hybrid Mutual Funds,4,6.4,0.93,4.71,3,Medium,0.32897838021702136
Bank of India Credit Risk Fund,Bank of India Mutual Fund,Alok Singh,0,5000,1.54,161.0,8,Debt,Credit Risk Funds,5,-4.1,0.38,0.91,4,Medium,0.2640615323219935
Bank of India Large & Mid Cap Equity Fund,Bank of India Mutual Fund,Nitin Gosar,1000,5000,1.89,204.0,10,Equity,Large & Mid Cap Funds,2,9.5,1.4,2.66,6,High,0.27796612396075515
Bank of India Liquid Fund,Bank of India Mutual Fund,Mithraem Bharucha,0,5000,0.18,403.0,10,Debt,Liquid Mutual Funds,4,5.3,0.92,4.06,2,Low,0.37103572508285815
Bank of India Manufacturing & Infrastr Fund,Bank of India Mutual Fund,Nitin Gosar,1000,5000,1.55,87.0,10,Equity,Sectoral / Thematic Mutual Funds,4,11.5,1.8,3.23,6,High,0.38861107833502695
Bank of India Mid & Small Cap Equity & Debt Fund,Bank of India Mutual Fund,Alok Singh,1000,5000,1.92,380.0,7,Hybrid,Aggressive Hybrid Mutual Funds,4,10.4,1.59,2.56,6,High,0.35260544834176344
Bank of India Midcap Tax Fund,Bank of India Mutual Fund,Dhruv Bhatia,0,500,0.95,51.0,5,Equity,ELSS Mutual Funds,0,10.6,1.38,2.64,6,High,0.18232125834072496
Bank of India Midcap Tax Fund,Bank of India Mutual Fund,Dhruv Bhatia,0,500,0.56,26.0,4,Equity,ELSS Mutual Funds,0,26.0,1.36,2.65,6,High,0.2622945190341303
Bank of India Overnight Fund,Bank of India Mutual Fund,Mithraem Bharucha,0,5000,0.17,82.0,3,Debt,Overnight Mutual Funds,5,4.0,0.39,1.92,1,Low,0.3193027017377219
Bank of India Short Term Income – Direct Growth,Bank of India Mutual Fund,Mithraem Bharucha,1000,5000,0.98,72.0,10,Debt,Short Duration Funds,5,4.0,0.43,0.76,2,Low,0.3365335413124784
Bank of India Small Cap Fund,Bank of India Mutual Fund,Dhruv Bhatia,1000,5000,1.52,414.0,4,Equity,Small Cap Mutual Funds,4,47.7,1.93,4.16,6,High,0.5639370496806798
Bank of India Tax Advantage Fund,Bank of India Mutual Fund,Alok Singh,500,500,1.31,676.0,10,Equity,ELSS Mutual Funds,4,13.2,1.5,2.88,6,High,0.39985106262063613
Bank of India Ultra Short Duration Fund,Bank of India Mutual Fund,Mithraem Bharucha,1000,5000,0.36,118.0,10,Debt,Ultra Short Duration Funds,2,5.7,1.07,2.16,3,Medium,0.27511617312750314
Baroda BNP Paribas Aggressive Hybrid Fund,Baroda BNP Paribas Mutual Fund,Jitendra Sriram,300,5000,0.61,772.0,6,Hybrid,Aggressive Hybrid Mutual Funds,5,13.3,1.39,2.79,6,High,0.42696131514069646
Baroda BNP Paribas Arbitrage Fund,Baroda BNP Paribas Mutual Fund,Neeraj Saxena,300,5000,0.49,354.0,6,Hybrid,Arbitrage Mutual Funds,3,5.6,0.85,0.99,1,Low,0.2771324498567639
Baroda BNP Paribas Balanced Advantage Fund,Baroda BNP Paribas Mutual Fund,Sanjay Chawla,500,5000,0.64,3123.0,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4,19.8,1.46,3.41,6,High,0.4231958136807526
Baroda BNP Paribas Banking & PSU Bond Fund,Baroda BNP Paribas Mutual Fund,Prashant Pimple,500,5000,0.39,40.0,2,Debt,Banking and PSU Mutual Funds,2,2.5,1.29,2.87,2,Low,0.21002155975739656
Baroda BNP Paribas Banking&Fin Serv Fund,Baroda BNP Paribas Mutual Fund,Miten Vora,500,5000,1.63,69.0,10,Equity,Sectoral / Thematic Mutual Funds,2,9.1,0.82,1.77,6,High,0.24622602584327605
Baroda BNP Paribas Conservative Hybrid Fund,Baroda BNP Paribas Mutual Fund,Pratish Krishnan,300,1000,0.78,501.0,10,Hybrid,Conservative Hybrid Mutual Funds,4,7.7,1.29,2.74,4,Medium,0.3758420987404963
Baroda BNP Paribas Corporate Bond Fund,Baroda BNP Paribas Mutual Fund,Mayank Prakash,300,5000,0.32,17.0,10,Debt,Corporate Bond Mutual Funds,2,4.4,0.43,0.63,2,Low,0.2258799911421975
Baroda BNP Paribas Credit Risk Fund,Baroda BNP Paribas Mutual Fund,Prashant Pimple,500,5000,0.78,179.0,8,Debt,Credit Risk Funds,5,7.6,1.06,1.9,4,Medium,0.38499381321226905
Baroda BNP Paribas Dynamic Bond Fund,Baroda BNP Paribas Mutual Fund,Mayank Prakash,300,1000,0.71,115.0,10,Debt,Dynamic Bond,2,6.6,0.49,0.56,3,Medium,0.24090075595528165
Baroda BNP Paribas ELSS Fund,Baroda BNP Paribas Mutual Fund,Sanjay Chawla,500,500,1.12,651.0,10,Equity,ELSS Mutual Funds,3,10.5,1.29,2.92,6,High,0.3426168712310727
Baroda BNP Paribas Equity Savings Fund,Baroda BNP Paribas Mutual Fund,Pratish Krishnan,500,5000,1.45,250.0,4,Hybrid,Equity Savings Mutual Funds,3,9.8,1.12,2.42,4,Medium,0.28446106516436764
Baroda BNP Paribas Focused Fund,Baroda BNP Paribas Mutual Fund,Sanjay Chawla,300,5000,0.67,299.0,5,Equity,Focused Funds,3,9.9,1.27,2.96,6,High,0.3123035452299152
Baroda BNP Paribas Gilt Fund,Baroda BNP Paribas Mutual Fund,Mayank Prakash,500,5000,0.14,138.0,10,Debt,Gilt Mutual Funds,2,6.8,0.28,0.34,3,Medium,0.24539764941103387
Baroda BNP Paribas India Consumption Fund,Baroda BNP Paribas Mutual Fund,Shiv Chanani,300,5000,0.81,880.0,5,Equity,Sectoral / Thematic Mutual Funds,3,23.3,1.38,3.08,6,High,0.3921923888698706
Baroda BNP Paribas Large Cap Fund,Baroda BNP Paribas Mutual Fund,Jitendra Sriram,300,5000,0.94,1347.0,10,Equity,Large Cap Mutual Funds,4,12.8,1.32,2.71,6,High,0.4016644306542387
Baroda BNP Paribas Liquid Fund,Baroda BNP Paribas Mutual Fund,Vikram Pamnani,500,5000,0.19,6686.0,10,Debt,Liquid Mutual Funds,5,5.4,0.93,4.11,2,Low,0.42651131658724
Baroda BNP Paribas Low Duration Fund,Baroda BNP Paribas Mutual Fund,Mayank Prakash,300,5000,0.39,175.0,10,Debt,Low Duration Funds,3,6.5,1.51,2.55,3,Medium,0.3385114313212778
Baroda BNP Paribas Medium Duration Fund,Baroda BNP Paribas Mutual Fund,Mayank Prakash,300,5000,0.69,37.0,9,Debt,Medium Duration Funds,2,3.5,0.32,0.42,3,Medium,0.20604298278803274
Baroda BNP Paribas Mid Cap Fund,Baroda BNP Paribas Mutual Fund,Shiv Chanani,300,5000,0.59,1192.0,10,Equity,Mid Cap Mutual Funds,3,13.6,1.67,3.35,6,High,0.3881240117001806
Baroda BNP Paribas Money Market Fund,Baroda BNP Paribas Mutual Fund,Vikram Pamnani,500,5000,0.2,111.0,4,Debt,Money Market Funds,2,4.1,0.38,0.91,2,Low,0.19924913874901698
Baroda BNP Paribas Multi Cap Fund,Baroda BNP Paribas Mutual Fund,Sanjay Chawla,500,5000,1.1,1628.0,10,Equity,Multi Cap Funds,2,12.3,1.44,3.05,6,High,0.3227033665107984
Baroda BNP Paribas Overnight Fund,Baroda BNP Paribas Mutual Fund,Vikram Pamnani,500,5000,0.08,423.0,4,Debt,Overnight Mutual Funds,3,3.9,0.05,0.32,1,Low,0.23223288374868165
Baroda BNP Paribas Short Duration Fund,Baroda BNP Paribas Mutual Fund,Prashant Pimple,500,5000,0.37,235.0,10,Debt,Short Duration Funds,3,6.7,0.88,1.23,3,Medium,0.31004757319943144
Baroda BNP Paribas Ultra Short Duration Fund,Baroda BNP Paribas Mutual Fund,Vikram Pamnani,500,5000,0.22,560.0,5,Debt,Ultra Short Duration Funds,3,5.1,1.77,3.14,2,Low,0.3222730999147822
BHARAT Bond FOF – April 2025 – Direct Growth,Edelweiss Mutual Fund,Dhawal Dalal,500,1000,0.06,3912.0,3,Other,FoFs Domestic,2,2.6,1.29,2.87,2,Low,0.2465945093227554
Canara Robeco Bluechip Equity Fund,Canara Robeco Mutual Fund,Shridatta Bhandwaldar,1000,5000,0.48,8672.0,10,Equity,Large Cap Mutual Funds,5,14.4,1.35,3.07,6,High,0.47207024524400437
Canara Robeco Conservative Hybrid Fund,Canara Robeco Mutual Fund,Avnish Jain,1000,5000,0.57,1069.0,10,Hybrid,Conservative Hybrid Mutual Funds,5,9.4,1.74,3.41,4,Medium,0.45301316763479904
Canara Robeco Consumer Trends Fund,Canara Robeco Mutual Fund,Shridatta Bhandwaldar,1000,5000,1.0,935.0,10,Equity,Sectoral / Thematic Mutual Funds,4,15.1,1.48,3.47,6,High,0.4218352904446742
Canara Robeco Corporate Bond Fund,Canara Robeco Mutual Fund,Avnish Jain,1000,5000,0.39,191.0,9,Debt,Corporate Bond Mutual Funds,3,6.7,0.85,1.35,2,Low,0.3025469752316263
Canara Robeco Dynamic Bond Fund,Canara Robeco Mutual Fund,Kunal Jain,1000,5000,0.66,116.0,10,Debt,Dynamic Bond,3,6.6,0.47,0.64,3,Medium,0.2821451626696484
